days,US,CN,JP,DE,IN,FR,UK,BR,IT,CA
48.00 ,5.28 ,3.53 ,2.87 ,3.71 ,3.25 ,7.62 ,15.78 ,6.79 ,12.77 ,5.46 
49.00 ,5.29 ,3.58 ,2.62 ,3.78 ,3.27 ,10.11 ,15.89 ,6.90 ,12.79 ,5.58 
50.00 ,5.36 ,3.59 ,2.41 ,3.88 ,3.26 ,11.02 ,15.93 ,6.82 ,12.73 ,5.72 
51.00 ,5.40 ,3.64 ,2.35 ,3.95 ,3.25 ,11.46 ,15.74 ,6.77 ,12.83 ,5.81 
52.00 ,5.46 ,3.67 ,2.14 ,3.95 ,3.23 ,11.98 ,15.52 ,6.81 ,12.97 ,5.98 
53.00 ,5.55 ,3.71 ,2.00 ,4.07 ,3.38 ,13.21 ,15.70 ,6.81 ,13.11 ,6.16 
54.00 ,5.75 ,3.74 ,2.10 ,4.09 ,3.43 ,13.25 ,15.80 ,6.84 ,13.12 ,6.29 
55.00 ,5.73 ,3.77 ,2.05 ,4.10 ,3.37 ,14.14 ,15.63 ,6.84 ,13.19 ,6.19 
56.00 ,5.66 ,3.80 ,1.90 ,4.17 ,3.35 ,14.55 ,15.50 ,6.98 ,13.20 ,6.34 
57.00 ,5.68 ,3.83 ,1.82 ,4.24 ,3.32 ,14.75 ,15.43 ,6.96 ,13.22 ,6.52 
58.00 ,5.69 ,3.86 ,1.65 ,4.29 ,3.35 ,15.09 ,15.24 ,6.90 ,13.31 ,6.66 
59.00 ,5.76 ,3.88 ,1.45 ,4.34 ,3.29 ,15.26 ,15.08 ,6.79 ,13.40 ,6.79 
60.00 ,5.86 ,3.91 ,1.41 ,4.37 ,3.24 ,15.19 ,15.09 ,6.71 ,13.39 ,6.88 
61.00 ,5.89 ,3.92 ,1.43 ,4.37 ,3.25 ,16.16 ,14.95 ,6.69 ,13.45 ,6.93 
62.00 ,5.90 ,3.93 ,1.47 ,4.37 ,3.27 ,16.46 ,14.81 ,6.61 ,13.46 ,7.08 
63.00 ,5.86 ,3.94 ,1.58 ,4.42 ,3.23 ,17.10 ,14.78 ,6.62 ,13.51 ,7.13 
64.00 ,5.84 ,3.95 ,1.61 ,4.46 ,3.20 ,17.28 ,14.67 ,6.47 ,13.48 ,7.26 
65.00 ,5.84 ,3.97 ,1.57 ,4.48 ,3.16 ,17.51 ,14.53 ,6.46 ,13.53 ,7.34 
66.00 ,5.90 ,3.98 ,1.55 ,4.52 ,3.15 ,17.67 ,14.38 ,6.36 ,13.58 ,7.45 
67.00 ,5.98 ,4.00 ,1.59 ,4.54 ,3.13 ,17.73 ,14.44 ,6.34 ,13.60 ,7.46 
68.00 ,6.02 ,4.00 ,1.67 ,4.54 ,3.09 ,17.91 ,14.45 ,6.24 ,13.61 ,7.49 
69.00 ,6.01 ,4.00 ,1.62 ,4.54 ,3.06 ,18.09 ,14.42 ,,13.61 ,7.51 
70.00 ,6.02 ,4.01 ,2.44 ,4.57 ,3.02 ,18.15 ,14.36 ,,13.72 ,7.48 
71.00 ,5.98 ,4.01 ,2.59 ,4.60 ,2.97 ,18.22 ,14.35 ,,13.71 ,7.47 
72.00 ,5.99 ,4.02 ,2.59 ,4.61 ,2.93 ,18.35 ,14.21 ,,13.72 ,7.53 
73.00 ,6.01 ,4.02 ,2.64 ,4.61 ,2.90 ,18.52 ,14.12 ,,13.76 ,7.57 
74.00 ,6.05 ,4.02 ,2.62 ,4.62 ,,18.65 ,14.20 ,,13.84 ,7.58 
75.00 ,6.06 ,4.03 ,2.77 ,4.63 ,,18.75 ,14.38 ,,13.88 ,7.60 
76.00 ,6.07 ,4.03 ,2.81 ,4.62 ,,18.81 ,14.36 ,,13.91 ,7.59 
77.00 ,6.05 ,4.03 ,2.95 ,,,18.89 ,14.32 ,,13.93 ,
78.00 ,6.02 ,4.03 ,3.02 ,,,18.90 ,14.26 ,,13.95 ,
79.00 ,5.99 ,4.02 ,3.15 ,,,18.96 ,14.18 ,,13.98 ,
80.00 ,6.01 ,4.02 ,3.32 ,,,19.11 ,,,13.97 ,
81.00 ,6.02 ,4.02 ,3.39 ,,,19.20 ,,,14.01 ,
82.00 ,6.00 ,4.02 ,3.42 ,,,18.82 ,,,14.06 ,
83.00 ,6.00 ,4.03 ,3.54 ,,,18.86 ,,,14.12 ,
84.00 ,5.98 ,4.04 ,3.56 ,,,18.95 ,,,14.13 ,
85.00 ,5.95 ,4.04 ,3.58 ,,,18.95 ,,,14.15 ,
86.00 ,,4.04 ,3.85 ,,,18.97 ,,,14.17 ,
87.00 ,,4.03 ,3.89 ,,,19.10 ,,,14.19 ,
88.00 ,,4.03 ,3.93 ,,,19.25 ,,,14.22 ,
89.00 ,,4.03 ,4.05 ,,,19.24 ,,,14.25 ,
90.00 ,,4.03 ,4.17 ,,,19.40 ,,,14.26 ,
91.00 ,,4.03 ,4.27 ,,,19.42 ,,,14.27 ,
92.00 ,,4.02 ,4.38 ,,,19.43 ,,,14.26 ,
93.00 ,,4.02 ,4.47 ,,,19.46 ,,,,
94.00 ,,4.02 ,4.57 ,,,19.52 ,,,,
95.00 ,,4.01 ,4.59 ,,,19.54 ,,,,
